food_name,food_category,food_type,food_origin,food_price,food_expiration_date,food_nutrition_facts,food_allergens,food_ingredients,food_brand,food_image,food_serving_size,food_calories,food_protein,food_fat,food_carbohydrates,food_sugar,food_fiber,food_vitamin_a,food_vitamin_c,food_calcium,food_iron,food_potassium,food_sodium,food_cholesterol,food_gluten_free,food_vegan,food_halal,food_kosher,food_gmo_free,food_organic
Sprouts - Alfalfa,meat,conventional,China,66.53,12/30/2023,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",soy,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",http://dummyimage.com/111x100.png/ff4444/ffffff,http://dummyimage.com/202x100.png/5fa2dd/ffffff,2.2,826,70.2,48.4,18.5,97.6,39.6,20.0,96.1,99.7,56.0,68.7,599,33.7,False,True,True,False,True,False
Beef Flat Iron Steak,grain,organic,China,61.01,11/1/2023,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",tree nuts,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",http://dummyimage.com/100x100.png/ff4444/ffffff,http://dummyimage.com/167x100.png/ff4444/ffffff,75.3,719,36.2,4.7,68.0,45.9,22.0,83.0,43.7,16.1,72.8,64.7,341,57.0,True,False,True,True,True,False
Scallops - In Shell,meat,conventional,Russia,11.08,4/21/2023,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",milk,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",http://dummyimage.com/127x100.png/ff4444/ffffff,http://dummyimage.com/202x100.png/dddddd/000000,50.1,196,53.6,93.3,35.6,89.3,13.5,48.7,48.6,6.5,78.2,99.9,777,17.8,False,False,False,False,True,False
"Soup - Knorr, French Onion",meat,organic,Hungary,53.36,5/25/2023,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",eggs,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",http://dummyimage.com/194x100.png/5fa2dd/ffffff,http://dummyimage.com/239x100.png/ff4444/ffffff,71.0,79,48.4,14.3,55.3,34.9,11.4,36.8,7.5,42.7,34.5,37.5,499,8.2,False,True,False,False,True,False
Appetizer - Sausage Rolls,grain,organic,China,96.42,11/27/2023,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,peanuts,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",http://dummyimage.com/191x100.png/ff4444/ffffff,http://dummyimage.com/104x100.png/ff4444/ffffff,39.1,443,72.2,15.2,5.4,10.1,25.7,16.7,62.6,3.6,27.6,54.4,903,97.8,False,True,True,True,False,False
"Soup - Campbells, Chix Gumbo",vegetable,organic,Indonesia,18.87,1/6/2023,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",soy,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",http://dummyimage.com/185x100.png/cc0000/ffffff,http://dummyimage.com/188x100.png/5fa2dd/ffffff,66.2,471,21.2,12.5,77.4,8.1,11.9,40.1,91.3,37.4,76.3,40.4,459,28.2,True,False,False,False,True,False
Dome Lid Clear P92008h,fruit,organic,Tajikistan,97.2,5/16/2022,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",peanuts,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,http://dummyimage.com/195x100.png/5fa2dd/ffffff,http://dummyimage.com/156x100.png/dddddd/000000,66.9,202,56.7,27.9,8.1,23.2,18.4,76.2,99.3,90.8,92.9,20.3,936,97.0,False,False,False,False,False,False
Salt - Celery,dairy,conventional,Indonesia,57.34,12/28/2022,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",milk,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",http://dummyimage.com/185x100.png/ff4444/ffffff,http://dummyimage.com/227x100.png/5fa2dd/ffffff,27.4,513,1.1,64.6,44.0,15.1,72.5,54.4,35.9,46.6,24.7,86.0,72,76.7,False,True,False,True,False,False
Lobster - Cooked,fruit,conventional,Peru,21.53,8/30/2023,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",soy,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",http://dummyimage.com/217x100.png/5fa2dd/ffffff,http://dummyimage.com/174x100.png/cc0000/ffffff,5.4,686,42.7,94.7,95.0,38.8,63.3,58.3,16.0,16.3,99.4,8.2,327,78.8,False,True,False,True,True,False
Bread Base - Italian,grain,organic,France,6.44,10/6/2022,Phasellus in felis. Donec semper sapien a libero. Nam dui.,eggs,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",http://dummyimage.com/178x100.png/cc0000/ffffff,http://dummyimage.com/101x100.png/cc0000/ffffff,46.9,105,76.0,8.7,88.0,43.6,51.3,51.1,61.1,82.8,23.3,72.6,828,74.1,False,True,False,False,True,False
